tipo,repeticion,valor
vd2_ms,1,2.0
vd2_ms,2,2.0
vd2_ms,3,2.0
vd2_ms,4,1.0
vd2_ms,5,2.0
vd2_ms,6,1.0
vd2_ms,7,2.0
vd2_ms,8,2.0
vd2_ms,9,862.0
vd2_ms,10,2.0
vd2_ms,11,2.0
vd2_ms,12,2.0
vd2_ms,13,2.0
vd2_ms,14,839.0
vd2_ms,15,2.0
vd2_ms,16,2.0
vd2_ms,17,1.0
vd2_ms,18,1.0
vd2_ms,19,842.0
vd2_ms,20,2.0
vd2_ms,21,2.0
vd2_ms,22,1.0
vd2_ms,23,2.0
vd2_ms,24,825.0
vd2_ms,25,2.0
vd2_ms,26,2.0
vd2_ms,27,2.0
vd2_ms,28,2.0
vd2_ms,29,2.0
vd2_ms,30,2.0
vd1_registros,1,200
vd1_registros,2,200
vd1_registros,3,200
vd1_registros,4,200
vd1_registros,5,200
